Date,CallWall,PutWall
2026-06-26,87.5,82.5
2026-06-29,87.5,82.5
2026-06-30,87.5,82.5
2026-07-01,87.5,82.5
2026-07-02,90.0,82.5
2026-07-06,90.0,85.0
2026-07-07,90.0,85.0
2026-07-08,90.0,85.0
2026-07-09,90.0,85.0
2026-07-10,90.0,77.5
2026-07-13,90.0,77.5
2026-07-14,90.0,77.5
2026-07-15,92.5,82.5
2026-07-16,92.5,77.5
2026-07-17,95.0,85.0
2026-07-20,90.0,77.5
2026-07-21,95.0,77.5
2026-07-22,95.0,77.5
2026-07-23,90.0,77.5
2026-07-24,95.0,77.5
2026-07-27,95.0,77.5
2026-07-28,95.0,77.5
2026-07-29,95.0,77.5
2026-07-30,100.0,85.0
2026-07-31,95.0,82.5
2026-08-03,95.0,82.5
2026-08-04,95.0,85.0
2026-08-05,95.0,85.0
2026-08-06,100.0,85.0
2026-08-07,100.0,85.0
2026-08-10,100.0,85.0
2026-08-11,100.0,85.0
2026-08-12,100.0,85.0
2026-08-13,100.0,85.0
2026-08-14,100.0,82.5
2026-08-17,100.0,82.5
2026-08-18,100.0,82.5
2026-08-19,95.0,82.5
2026-08-20,95.0,82.5
2026-08-21,95.0,82.5
2026-08-24,95.0,82.5
2026-08-25,95.0,82.5
2026-08-26,95.0,82.5
2026-08-27,95.0,82.5
2026-08-28,95.0,82.5
2026-08-31,95.0,82.5
2026-09-01,95.0,82.5
2026-09-02,95.0,82.5
2026-09-03,100.0,82.5
2026-09-04,100.0,82.5
2026-09-07,100.0,82.5
2026-09-08,95.0,82.5
2026-09-09,95.0,82.5
2026-09-10,95.0,82.5
2026-09-11,100.0,82.5
2026-09-14,100.0,95.0
2026-09-15,100.0,82.5
2026-09-16,100.0,82.5
2026-09-17,100.0,95.0
2026-09-18,97.5,92.5
2026-09-21,97.5,95.0
2026-09-22,97.5,95.0
2026-09-23,97.5,95.0
2026-09-24,97.5,95.0
