Date,CallWall,PutWall
2026-06-26,50.0,45.0
2026-06-29,50.0,45.0
2026-06-30,50.0,45.0
2026-07-01,50.0,45.0
2026-07-02,55.0,45.0
2026-07-06,55.0,45.0
2026-07-07,55.0,45.0
2026-07-08,55.0,45.0
2026-07-09,55.0,45.0
2026-07-10,55.0,45.0
2026-07-13,55.0,45.0
2026-07-14,55.0,45.0
2026-07-15,55.0,45.0
2026-07-16,55.0,45.0
2026-07-17,60.0,55.0
2026-07-20,60.0,45.0
2026-07-21,60.0,45.0
2026-07-22,60.0,45.0
2026-07-23,60.0,45.0
2026-07-24,60.0,45.0
2026-07-27,60.0,45.0
2026-07-28,60.0,45.0
2026-07-29,60.0,50.0
2026-07-30,60.0,45.0
2026-07-31,60.0,45.0
2026-08-03,60.0,45.0
2026-08-04,60.0,50.0
2026-08-05,60.0,45.0
2026-08-06,60.0,50.0
2026-08-07,60.0,50.0
2026-08-10,60.0,50.0
2026-08-11,60.0,45.0
2026-08-12,60.0,50.0
2026-08-13,65.0,50.0
2026-08-14,75.0,55.0
2026-08-17,60.0,50.0
2026-08-18,60.0,55.0
2026-08-19,65.0,55.0
2026-08-20,70.0,55.0
2026-08-21,60.0,55.0
2026-08-24,70.0,55.0
2026-08-25,70.0,55.0
2026-08-26,70.0,55.0
2026-08-27,70.0,55.0
2026-08-28,70.0,55.0
2026-08-31,70.0,65.0
2026-09-01,70.0,55.0
2026-09-02,70.0,55.0
2026-09-03,70.0,55.0
2026-09-04,70.0,55.0
2026-09-08,70.0,55.0
2026-09-09,60.0,55.0
2026-09-10,70.0,55.0
2026-09-11,65.0,55.0
2026-09-14,65.0,55.0
2026-09-15,70.0,55.0
2026-09-16,70.0,55.0
2026-09-17,65.0,55.0
2026-09-18,65.0,55.0
2026-09-21,65.0,50.0
2026-09-22,65.0,55.0
2026-09-23,65.0,55.0
2026-09-24,65.0,55.0
